Date,Ticker,Open,High,Low,Close,Volume
2016-07-01,AAPL,21.73826451524654,21.96136193566166,21.701841474526535,21.82932472229004,104106000
2016-07-05,AAPL,21.715497529265225,21.71777451182094,21.503783309132288,21.62443733215332,110820800
2016-07-06,AAPL,21.535657420975962,21.776967240861612,21.483298971964736,21.747371673583984,123796400
2016-07-07,AAPL,21.786066807754406,21.96818718902703,21.767856159090083,21.8407039642334,100558400
2016-07-08,AAPL,21.96591273121933,22.056972932321376,21.86574807315307,22.009166717529297,115648400
2016-07-11,AAPL,22.025102967911465,22.229987994048525,22.020550739254617,22.077463150024414,95179600
2016-07-12,AAPL,22.12071705579834,22.24137109776262,22.109335614890412,22.177629470825195,96670000
2016-07-13,AAPL,22.17535258561507,22.234540242351116,22.045590621589493,22.05242156982422,103568800
2016-07-14,AAPL,22.17080347940538,22.535042641120146,22.154868070356276,22.489513397216797,155676000
2016-07-15,AAPL,22.519104930441348,22.605612916576966,22.423492485919063,22.487234115600586,120548000
2016-07-18,AAPL,22.46902162355876,22.79456071952793,22.446257004036756,22.726266860961914,145975600
2016-07-19,AAPL,22.664799966530648,22.76496637436316,22.614716762614393,22.73537254333496,95119600
2016-07-20,AAPL,22.764961753423556,22.869680369069854,22.705772366552605,22.755855560302734,105104000
2016-07-21,AAPL,22.72626835076937,22.992618063978416,22.566912530010583,22.635208129882812,130808000
2016-07-22,AAPL,22.596496927113698,22.60560311838251,22.38022879234326,22.45990753173828,113254800
2016-07-25,AAPL,22.366578214856425,22.50089067529316,22.063803762131876,22.15941619873047,161531600
2016-07-26,AAPL,22.041035224862693,22.302832624371444,21.9499750332733,22.006887435913086,224959200
2016-07-27,AAPL,23.737030470996775,23.75524286154649,23.391003734698042,23.436532974243164,369379200
2016-07-28,AAPL,23.409214293402172,23.77800562061437,23.40693731055435,23.75296401977539,159479200
2016-07-29,AAPL,23.718817369635584,23.800771381822965,23.602715562898634,23.723369598388672,110934800
2016-08-01,AAPL,23.76889907881645,24.165008954984405,23.76889907881645,24.142244338989258,152671600
2016-08-02,AAPL,24.142243754724728,24.14679598308204,23.675561322388425,23.784833908081055,135266400
2016-08-03,AAPL,23.85995808599503,24.09443693605807,23.850851892023883,24.08305549621582,120810400
2016-08-04,AAPL,24.165456255771122,24.261586651709102,24.09679068939377,24.23183250427246,109634800
2016-08-05,AAPL,24.32338432959132,24.639243840287477,24.302785707365693,24.60033416748047,162213600
2016-08-08,AAPL,24.60948147407652,24.804033279418945,24.52708526060686,24.804033279418945,112148800
2016-08-09,AAPL,24.771996258580785,24.93450290293659,24.72164174276166,24.904747009277344,105260800
2016-08-10,AAPL,24.88185552870278,24.925343830947153,24.6644175099562,24.719348907470703,96034000
2016-08-11,AAPL,24.838367228321207,24.932210039226604,24.68501613103632,24.703327178955078,109938000
2016-08-12,AAPL,24.6689960458263,24.820059581873906,24.6689960458263,24.760549545288086,74641600
2016-08-15,AAPL,24.75139199583661,25.07182834461946,24.73765958322399,25.058095932006836,103472800
2016-08-16,AAPL,25.092424642625954,25.229755741000236,24.99629427075392,25.03520393371582,135177600
2016-08-17,AAPL,24.97112008237138,25.032919433468297,24.797168616999258,24.998586654663086,101424000
2016-08-18,AAPL,25.000874066471287,25.08555960199935,24.952807132065452,24.966541290283203,87938800
2016-08-19,AAPL,24.895592108196556,25.106165702014025,24.80175102783004,25.0306339263916,101472400
2016-08-22,AAPL,24.916193032880557,24.971124440813984,24.685020811230327,24.836084365844727,103280800
2016-08-23,AAPL,24.854386533857703,25.02147177389938,24.840654122377213,24.913896560668945,85030800
2016-08-24,AAPL,24.849806567229468,24.89100554280498,24.64610100639423,24.72620964050293,94700400
2016-08-25,AAPL,24.579732636625383,24.691884760216265,24.417225999435953,24.62093162536621,100344800
2016-08-26,AAPL,24.584303640216316,24.70789882183207,24.33253115038389,24.476728439331055,111065200
2016-08-29,AAPL,24.40348485000468,24.59116867681168,24.32795310664356,24.449260711669922,99881200
2016-08-30,AAPL,24.215807454424684,24.37602475904069,24.14714189745345,24.26158332824707,99455600
2016-08-31,AAPL,24.18376044028327,24.392042905682008,24.17918180583116,24.284467697143555,118649600
2016-09-01,AAPL,24.293627177292564,24.444690706547647,24.174608855710293,24.428668975830078,106806000
2016-09-02,AAPL,24.650682859257305,24.71934841445918,24.44926657489614,24.657550811767578,107210000
2016-09-06,AAPL,24.696465800132074,24.788019311384804,24.60720160687611,24.65068817138672,107521600
2016-09-07,AAPL,24.68044063237792,24.893301774270007,24.506489159826664,24.801748275756836,169457200
2016-09-08,AAPL,24.547690125175723,24.552267014663258,24.087635024092958,24.151721954345703,212008000
2016-09-09,AAPL,23.950300315527222,24.19749420262541,23.604686737060547,23.604686737060547,186228000
2016-09-12,AAPL,23.494826106333228,24.197496422009813,23.46735953427949,24.13340950012207,181171200
2016-09-13,AAPL,24.607199441122198,24.900169254355387,24.545400084314608,24.70790672302246,248704800
2016-09-14,AAPL,24.886434865548,25.87063014465147,24.85667897528379,25.582237243652344,443554800
2016-09-15,AAPL,26.06060255423702,26.488614130670957,25.97591526747291,26.45199203491211,359934400
2016-09-16,AAPL,26.348998373685482,26.580168830453403,26.10180443856475,26.303220748901367,319547600
2016-09-19,AAPL,26.365020681676523,26.591614254034297,25.9209873158799,25.996519088745117,188092000
2016-09-20,AAPL,25.875213832151633,26.120118477499037,25.75161685044761,25.994232177734375,138057200
2016-09-21,AAPL,26.058316452331603,26.090359916955993,25.735592488260867,25.989652633666992,144012800
2016-09-22,AAPL,26.172756842947617,26.307798649490568,26.092648184610844,26.234556198120117,124296000
2016-09-23,AAPL,26.188779511350944,26.27346680818627,25.531886743255473,25.79738998413086,209924800
2016-09-26,AAPL,25.552483716270608,25.953028742676437,25.53188509596385,25.8362979888916,119477600
2016-09-27,AAPL,25.863764554138143,25.904963540976546,25.71270102031809,25.884363174438477,98429600
2016-09-28,AAPL,26.021695169222927,26.239133206587653,25.962185131514705,26.08120346069336,118564400
2016-09-29,AAPL,25.90038283907989,26.046867715999547,25.58910203906625,25.676076889038086,143548000
